category,mode,n_seeds,metric,mean,std,min,max
tile,k1,5,Pixel F1,0.6641,0.0092,0.6483,0.6767
tile,k1,5,Pixel PRO,0.9189,0.0020,0.9169,0.9223
tile,k2,6,Image AUROC,0.9913,0.0022,0.9874,0.9939
tile,k2,6,Image AP,0.9969,0.0008,0.9955,0.9977
tile,k2,6,Image F1,0.9801,0.0027,0.9762,0.9820
tile,k2,6,Pixel AUROC,0.9617,0.0024,0.9577,0.9654
tile,k2,6,Pixel AP,0.5943,0.0214,0.5724,0.6373
tile,k2,6,Pixel F1,0.6668,0.0090,0.6546,0.6839
tile,k2,6,Pixel PRO,0.9163,0.0011,0.9143,0.9173
tile,k4,5,Image AUROC,0.9929,0.0031,0.9881,0.9968
tile,k4,5,Image AP,0.9973,0.0012,0.9954,0.9988
tile,k4,5,Image F1,0.9784,0.0048,0.9701,0.9820
tile,k4,5,Pixel AUROC,0.9620,0.0059,0.9519,0.9678
tile,k4,5,Pixel AP,0.6136,0.0387,0.5601,0.6622
tile,k4,5,Pixel F1,0.6706,0.0213,0.6422,0.6937
tile,k4,5,Pixel PRO,0.9175,0.0051,0.9090,0.9248
toothbrush,k1,5,Image AUROC,0.9533,0.0368,0.8833,0.9861
toothbrush,k1,5,Image AP,0.9834,0.0131,0.9587,0.9952
toothbrush,k1,5,Image F1,0.9384,0.0349,0.8824,0.9831
toothbrush,k1,5,Pixel AUROC,0.9814,0.0027,0.9775,0.9847
toothbrush,k1,5,Pixel AP,0.4511,0.0321,0.3918,0.4793
toothbrush,k1,5,Pixel F1,0.5542,0.0208,0.5179,0.5806
toothbrush,k1,5,Pixel PRO,0.8978,0.0158,0.8753,0.9145
toothbrush,k2,6,Image AUROC,0.9643,0.0420,0.8722,0.9972
toothbrush,k2,6,Image AP,0.9871,0.0148,0.9547,0.9989
toothbrush,k2,6,Image F1,0.9498,0.0321,0.8824,0.9836
toothbrush,k2,6,Pixel AUROC,0.9831,0.0038,0.9749,0.9866
toothbrush,k2,6,Pixel AP,0.4494,0.0091,0.4399,0.4608
toothbrush,k2,6,Pixel F1,0.5507,0.0084,0.5429,0.5653
toothbrush,k2,6,Pixel PRO,0.9069,0.0253,0.8513,0.9271
toothbrush,k4,5,Image AUROC,0.9839,0.0128,0.9639,1.0000
toothbrush,k4,5,Image AP,0.9942,0.0045,0.9873,1.0000
toothbrush,k4,5,Image F1,0.9698,0.0198,0.9474,1.0000
toothbrush,k4,5,Pixel AUROC,0.9842,0.0020,0.9815,0.9864
toothbrush,k4,5,Pixel AP,0.4404,0.0204,0.4142,0.4654
toothbrush,k4,5,Pixel F1,0.5407,0.0123,0.5288,0.5602
toothbrush,k4,5,Pixel PRO,0.9189,0.0122,0.9050,0.9331
transistor,k1,5,Image AUROC,0.7903,0.1006,0.6650,0.9142
transistor,k1,5,Image AP,0.7508,0.1217,0.5969,0.9140
transistor,k1,5,Image F1,0.7228,0.0888,0.6435,0.8642
transistor,k1,5,Pixel AUROC,0.7581,0.1552,0.4755,0.9016
transistor,k1,5,Pixel AP,0.3510,0.1658,0.0838,0.5353
transistor,k1,5,Pixel F1,0.3653,0.1463,0.1161,0.5203
transistor,k1,5,Pixel PRO,0.5911,0.2169,0.2061,0.8013
transistor,k2,6,Image AUROC,0.8692,0.0955,0.7308,0.9675
transistor,k2,6,Image AP,0.8556,0.0997,0.7056,0.9590
transistor,k2,6,Image F1,0.7769,0.0922,0.6435,0.8800
transistor,k2,6,Pixel AUROC,0.8852,0.0507,0.7813,0.9265
transistor,k2,6,Pixel AP,0.5103,0.0733,0.3851,0.5907
transistor,k2,6,Pixel F1,0.4959,0.0548,0.4145,0.5586
transistor,k2,6,Pixel PRO,0.7971,0.0822,0.6344,0.8652
transistor,k4,5,Image AUROC,0.9357,0.0645,0.8079,0.9829
transistor,k4,5,Image AP,0.9254,0.0666,0.7947,0.9787
transistor,k4,5,Image F1,0.8687,0.0860,0.7000,0.9351
transistor,k4,5,Pixel AUROC,0.9161,0.0325,0.8619,0.9487
transistor,k4,5,Pixel AP,0.5598,0.0607,0.4573,0.6313
transistor,k4,5,Pixel F1,0.5384,0.0463,0.4548,0.5901
transistor,k4,5,Pixel PRO,0.8444,0.0523,0.7646,0.9049
wood,k1,5,Image AUROC,0.9900,0.0010,0.9895,0.9921
wood,k1,5,Image AP,0.9969,0.0003,0.9967,0.9975
wood,k1,5,Image F1,0.9754,0.0052,0.9672,0.9836
wood,k1,5,Pixel AUROC,0.9347,0.0076,0.9230,0.9449
wood,k1,5,Pixel AP,0.4776,0.0201,0.4458,0.5045
wood,k1,5,Pixel F1,0.5042,0.0145,0.4833,0.5237
wood,k1,5,Pixel PRO,0.8603,0.0118,0.8452,0.8717
wood,k2,6,Image AUROC,0.9915,0.0038,0.9868,0.9974
wood,k2,6,Image AP,0.9974,0.0012,0.9959,0.9992
wood,k2,6,Image F1,0.9768,0.0087,0.9667,0.9917
wood,k2,6,Pixel AUROC,0.9387,0.0044,0.9325,0.9466
wood,k2,6,Pixel AP,0.4750,0.0112,0.4639,0.4903
wood,k2,6,Pixel F1,0.4976,0.0092,0.4845,0.5076
wood,k2,6,Pixel PRO,0.8619,0.0112,0.8447,0.8784
wood,k4,5,Image AUROC,0.9944,0.0037,0.9886,0.9991
wood,k4,5,Image AP,0.9983,0.0011,0.9965,0.9997
wood,k4,5,Image F1,0.9804,0.0096,0.9677,0.9917
wood,k4,5,Pixel AUROC,0.9328,0.0170,0.9001,0.9453
wood,k4,5,Pixel AP,0.4567,0.0334,0.3945,0.4840
wood,k4,5,Pixel F1,0.4926,0.0112,0.4742,0.5065
wood,k4,5,Pixel PRO,0.8523,0.0201,0.8138,0.8671
zipper,k1,5,Image AUROC,0.9740,0.0136,0.9622,0.9908
zipper,k1,5,Image AP,0.9920,0.0044,0.9882,0.9975
zipper,k1,5,Image F1,0.9706,0.0113,0.9528,0.9874
zipper,k1,5,Pixel AUROC,0.9810,0.0027,0.9765,0.9842
zipper,k1,5,Pixel AP,0.5769,0.0216,0.5560,0.6147
zipper,k1,5,Pixel F1,0.6103,0.0152,0.5865,0.6301
zipper,k1,5,Pixel PRO,0.9428,0.0075,0.9315,0.9513
zipper,k2,6,Image AUROC,0.9861,0.0114,0.9609,0.9929
zipper,k2,6,Image AP,0.9956,0.0042,0.9862,0.9980
zipper,k2,6,Image F1,0.9814,0.0051,0.9712,0.9874
zipper,k2,6,Pixel AUROC,0.9850,0.0018,0.9821,0.9875
zipper,k2,6,Pixel AP,0.6190,0.0237,0.5825,0.6589
zipper,k2,6,Pixel F1,0.6396,0.0144,0.6192,0.6667
zipper,k2,6,Pixel PRO,0.9527,0.0056,0.9453,0.9637
zipper,k4,5,Image AUROC,0.9910,0.0048,0.9850,0.9966
zipper,k4,5,Image AP,0.9974,0.0014,0.9955,0.9991
zipper,k4,5,Image F1,0.9834,0.0052,0.9752,0.9876
zipper,k4,5,Pixel AUROC,0.9865,0.0019,0.9835,0.9891
zipper,k4,5,Pixel AP,0.6419,0.0211,0.6166,0.6746
zipper,k4,5,Pixel F1,0.6546,0.0124,0.6420,0.6780
zipper,k4,5,Pixel PRO,0.9572,0.0068,0.9467,0.9673
