dataset,category,mode,n_seeds,metric,mean,std,min,max
mvtec,tile,k2,5,Pixel PRO,0.9216,0.0175,0.8954,0.9400
mvtec,tile,k4,5,Image AUROC,1.0000,0.0000,1.0000,1.0000
mvtec,tile,k4,5,Image AP,1.0000,0.0000,1.0000,1.0000
mvtec,tile,k4,5,Image F1,1.0000,0.0000,1.0000,1.0000
mvtec,tile,k4,5,Pixel AUROC,0.9829,0.0021,0.9794,0.9853
mvtec,tile,k4,5,Pixel AP,0.8792,0.0107,0.8601,0.8931
mvtec,tile,k4,5,Pixel F1,0.7846,0.0127,0.7651,0.8043
mvtec,tile,k4,5,Pixel PRO,0.9120,0.0119,0.8923,0.9261
mvtec,toothbrush,k1,5,Image AUROC,0.9817,0.0189,0.9500,1.0000
mvtec,toothbrush,k1,5,Image AP,0.9935,0.0067,0.9825,1.0000
mvtec,toothbrush,k1,5,Image F1,0.9730,0.0276,0.9310,1.0000
mvtec,toothbrush,k1,5,Pixel AUROC,0.9894,0.0029,0.9854,0.9941
mvtec,toothbrush,k1,5,Pixel AP,0.5682,0.0591,0.4699,0.6407
mvtec,toothbrush,k1,5,Pixel F1,0.6316,0.0338,0.5772,0.6752
mvtec,toothbrush,k1,5,Pixel PRO,0.8986,0.0260,0.8648,0.9416
mvtec,toothbrush,k2,5,Image AUROC,1.0000,0.0000,1.0000,1.0000
mvtec,toothbrush,k2,5,Image AP,1.0000,0.0000,1.0000,1.0000
mvtec,toothbrush,k2,5,Image F1,1.0000,0.0000,1.0000,1.0000
mvtec,toothbrush,k2,5,Pixel AUROC,0.9935,0.0006,0.9925,0.9941
mvtec,toothbrush,k2,5,Pixel AP,0.6188,0.0124,0.5956,0.6307
mvtec,toothbrush,k2,5,Pixel F1,0.6668,0.0071,0.6599,0.6803
mvtec,toothbrush,k2,5,Pixel PRO,0.9342,0.0115,0.9125,0.9460
mvtec,toothbrush,k4,5,Image AUROC,0.9989,0.0022,0.9944,1.0000
mvtec,toothbrush,k4,5,Image AP,0.9996,0.0009,0.9978,1.0000
mvtec,toothbrush,k4,5,Image F1,0.9967,0.0066,0.9836,1.0000
mvtec,toothbrush,k4,5,Pixel AUROC,0.9930,0.0013,0.9908,0.9943
mvtec,toothbrush,k4,5,Pixel AP,0.6062,0.0394,0.5539,0.6758
mvtec,toothbrush,k4,5,Pixel F1,0.6613,0.0216,0.6369,0.6936
mvtec,toothbrush,k4,5,Pixel PRO,0.9202,0.0221,0.8828,0.9506
mvtec,transistor,k1,5,Image AUROC,0.9333,0.0279,0.8933,0.9729
mvtec,transistor,k1,5,Image AP,0.9231,0.0360,0.8613,0.9670
mvtec,transistor,k1,5,Image F1,0.8509,0.0457,0.7816,0.9231
mvtec,transistor,k1,5,Pixel AUROC,0.9398,0.0286,0.8944,0.9690
mvtec,transistor,k1,5,Pixel AP,0.6350,0.0753,0.5470,0.7427
mvtec,transistor,k1,5,Pixel F1,0.5947,0.0570,0.5295,0.6766
mvtec,transistor,k1,5,Pixel PRO,0.7577,0.0582,0.6483,0.8190
mvtec,transistor,k2,5,Image AUROC,0.9483,0.0138,0.9254,0.9629
mvtec,transistor,k2,5,Image AP,0.9378,0.0181,0.9053,0.9566
mvtec,transistor,k2,5,Image F1,0.8688,0.0320,0.8158,0.9091
mvtec,transistor,k2,5,Pixel AUROC,0.9559,0.0205,0.9171,0.9719
mvtec,transistor,k2,5,Pixel AP,0.6893,0.0451,0.6090,0.7305
mvtec,transistor,k2,5,Pixel F1,0.6315,0.0308,0.5817,0.6637
